ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,GIS Coordinate
3097,IROQUOIS PARK - Outdoor Tennis Court (  3),IROQUOIS PARK - Tennis Court Area,IROQUOIS PARK,295 CHARTLAND BLVD S,Scarborough,41,Public,Outdoor Tennis Court,No,Coated,"(-79.26838416,43.80339647)"
3091,IRVING W. CHAPLEY PARK - Outdoor Tennis Court (  1),IRVING W. CHAPLEY PARK - Tennis Court Area,IRVING W. CHAPLEY PARK,205 WILMINGTON AVE,North York,10,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.4561931,43.76201193)"
3092,IRVING W. CHAPLEY PARK - Outdoor Tennis Court (  2),IRVING W. CHAPLEY PARK - Tennis Court Area,IRVING W. CHAPLEY PARK,205 WILMINGTON AVE,North York,10,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.45601642,43.76204844)"
3580,JEFF HEALEY PARK - Outdoor Tennis Court (  1),JEFF HEALEY PARK - Tennis Court Area,JEFF HEALEY PARK,19 DELROY DR,Etobicoke York,05,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.49602765,43.63025972)"
3581,JEFF HEALEY PARK - Outdoor Tennis Court (  2),JEFF HEALEY PARK - Tennis Court Area,JEFF HEALEY PARK,19 DELROY DR,Etobicoke York,05,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.4958745,43.63029993)"
3072,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  1),JIMMIE SIMPSON PARK - Tennis Court Area,JIMMIE SIMPSON PARK,870 QUEEN ST E,Toronto East York,30,Public,Outdoor Tennis Court,No,Asphalt,"(-79.34429257,43.66106283)"
3073,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  2),JIMMIE SIMPSON PARK - Tennis Court Area,JIMMIE SIMPSON PARK,870 QUEEN ST E,Toronto East York,30,Public,Outdoor Tennis Court,No,Asphalt,"(-79.34430515,43.6609382)"
3066,JONATHAN ASHBRIDGE PARK - Outdoor Tennis Court (  1),JONATHAN ASHBRIDGE PARK - Tennis Court Area,JONATHAN ASHBRIDGE PARK,1515 QUEEN ST E,Waterfront,32,Public,Outdoor Tennis Court,No,Asphalt,"(-79.32022022,43.66479575)"
3067,JONATHAN ASHBRIDGE PARK - Outdoor Tennis Court (  2),JONATHAN ASHBRIDGE PARK - Tennis Court Area,JONATHAN ASHBRIDGE PARK,1515 QUEEN ST E,Waterfront,32,Public,Outdoor Tennis Court,No,Asphalt,"(-79.3200583,43.66483427)"
3055,JUNE ROWLANDS PARK - Outdoor Tennis Court (  1),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38784785,43.70128115)"
3056,JUNE ROWLANDS PARK - Outdoor Tennis Court (  2),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38768735,43.70131072)"
3057,JUNE ROWLANDS PARK - Outdoor Tennis Court (  3),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38834643,43.70119)"
3058,JUNE ROWLANDS PARK - Outdoor Tennis Court (  4),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38850865,43.7011592)"
3059,JUNE ROWLANDS PARK - Outdoor Tennis Court (  5),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38801006,43.70125159)"
3060,JUNE ROWLANDS PARK - Outdoor Tennis Court (  6),JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38817227,43.70122327)"
31482,KEW GARDENS TENNIS CLUB,,BEACHES PARK,2075 QUEEN ST E,Waterfront,32,Club,Clubhouse,,,"(-79.30049027,43.66623551)"
3036,KINGSVIEW PARK - Outdoor Tennis Court (  1),KINGSVIEW PARK - Tennis Court Area,KINGSVIEW PARK,46 KINGSVIEW BLVD,Etobicoke York,02,Public,Outdoor Tennis Court,No,Asphalt,"(-79.55510716,43.69890333)"
3037,KINGSVIEW PARK - Outdoor Tennis Court (  2),KINGSVIEW PARK - Tennis Court Area,KINGSVIEW PARK,46 KINGSVIEW BLVD,Etobicoke York,02,Public,Outdoor Tennis Court,No,Asphalt,"(-79.55494425,43.69894107)"
3031,KIRKWOOD PARK - Outdoor Tennis Court (  1),KIRKWOOD PARK - Tennis Court Area,KIRKWOOD PARK,25 KIRKWOOD RD,North York,25,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.36145799,43.75597655)"
3032,KIRKWOOD PARK - Outdoor Tennis Court (  2),KIRKWOOD PARK - Tennis Court Area,KIRKWOOD PARK,25 KIRKWOOD RD,North York,25,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.36126894,43.75600256)"
3033,KIRKWOOD PARK - Outdoor Tennis Court (  3),KIRKWOOD PARK - Tennis Court Area,KIRKWOOD PARK,25 KIRKWOOD RD,North York,25,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.36164705,43.75594958)"
3034,KIRKWOOD PARK - Outdoor Tennis Court (  4),KIRKWOOD PARK - Tennis Court Area,KIRKWOOD PARK,25 KIRKWOOD RD,North York,25,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.36183476,43.75592454)"
3009,LABURNHAM PARK - Outdoor Tennis Court (  1),LABURNHAM PARK - Tennis Court Area,LABURNHAM PARK,60 LABURNHAM AVE,Etobicoke York,06,Public,Outdoor Tennis Court,No,Asphalt,"(-79.52659864,43.60090678)"
