Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/locations/parks/?name=HENDON%20PARK,7,0,160.0,501.3972877142854,3.9669639999999617,1620.5107429999828,2281.0,0.11629266571061256,0.0,160,620,980,980,1600,1600,1600,1600,1600,1600,1600
GET,/api/locations/parks/?name=HERON%20PARK,2,0,4.178868999986207,78.64158849999114,4.178868999986207,153.10430799999608,2723.0,0.03322647591731787,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/locations/parks/?name=HIGH%20PARK,4,0,31,351.1795054999993,5.034244999990278,807.9338910000047,6921.0,0.06645295183463575,0.0,560,560,810,810,810,810,810,810,810,810,810
GET,/api/locations/parks/?name=HILLCREST%20PARK,3,0,130.0,352.48098033332553,12.257659999988846,910.8300869999937,2351.0,0.04983971387597681,0.0,130,130,910,910,910,910,910,910,910,910,910
GET,/api/locations/parks/?name=HOWARD%20TALBOT%20PARK,2,0,3.2314430000042194,373.0820225000002,3.2314430000042194,742.9326019999962,992.0,0.03322647591731787,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/api/locations/parks/?name=HULLMAR%20PARK,3,0,290.0,396.35798966666397,3.7814769999897635,899.103728,1417.0,0.04983971387597681,0.0,290,290,900,900,900,900,900,900,900,900,900
GET,/api/locations/parks/?name=HUMBERSIDE%20GROUNDS,2,0,4.298587999983283,90.30418699998677,4.298587999983283,176.30978599999025,1964.0,0.03322647591731787,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/locations/parks/?name=INDIAN%20LINE%20PARK,3,0,35,184.23529966666288,3.092350999992277,514.7630259999971,990.0,0.04983971387597681,0.0,35,35,510,510,510,510,510,510,510,510,510
GET,/api/locations/parks/?name=IROQUOIS%20PARK,4,0,120.0,456.80783075000164,4.6884870000099,1586.6441069999837,1445.0,0.06645295183463575,0.0,120,120,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/locations/parks/?name=IRVING%20W.%20CHAPLEY%20PARK,4,0,9,309.3306979999966,4.180845999997018,1072.8734759999838,1015.0,0.06645295183463575,0.0,150,150,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=JEFF%20HEALEY%20PARK,1,0,5.482539000013276,5.482539000013276,5.482539000013276,5.482539000013276,975.0,0.016613237958658936,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/api/locations/parks/?name=JIMMIE%20SIMPSON%20PARK,3,0,4,66.65387533333462,3.68207599998982,192.58082900000772,1001.0,0.04983971387597681,0.0,4,4,190,190,190,190,190,190,190,190,190
GET,/api/locations/parks/?name=JONATHAN%20ASHBRIDGE%20PARK,3,0,48,35.967381999995496,3.1805880000206344,56.25697299998933,1013.0,0.04983971387597681,0.0,48,48,56,56,56,56,56,56,56,56,56
GET,/api/locations/parks/?name=JUNE%20ROWLANDS%20PARK,3,0,70,221.23966400000464,66.37777000000256,527.5594519999913,3418.0,0.04983971387597681,0.0,70,70,530,530,530,530,530,530,530,530,530
GET,/api/locations/parks/?name=KINGSVIEW%20PARK,2,0,10,531.3478289999836,9.577956999976323,1053.1177009999908,972.0,0.03322647591731787,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=KIRKWOOD%20PARK,3,0,120.0,458.98681633333166,83.14839499999493,1174.0339680000034,1906.0,0.04983971387597681,0.0,120,120,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=L'AMOREAUX%20SPORTS%20COMPLEX,5,0,120.0,241.45845520000648,5.269980000008445,640.4686300000151,2596.0,0.08306618979329469,0.0,120,420,420,640,640,640,640,640,640,640,640
GET,/api/locations/parks/?name=LABURNHAM%20PARK,6,0,5,48.45401599999851,3.7009710000006635,156.30960999999388,970.0,0.09967942775195363,0.0,55,55,66,66,160,160,160,160,160,160,160
GET,/api/locations/parks/?name=LAKESHORE%20BOULEVARD%20PARKLANDS,3,0,64,104.38781766667186,4.701224999990927,244.85137900001064,2124.0,0.04983971387597681,0.0,64,64,240,240,240,240,240,240,240,240,240
GET,/api/locations/parks/?name=LAMBTON%20-%20KINGSWAY%20PARK,1,0,34.60509200002093,34.60509200002093,34.60509200002093,34.60509200002093,1020.0,0.016613237958658936,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/locations/parks/?name=LANYARD%20PARK,3,0,980.0,688.1487879999971,4.006484999990789,1083.0581859999882,1428.0,0.04983971387597681,0.0,980,980,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=LAWRENCE%20PARK%20AND%20RAVINE,6,0,99,349.14289399999626,5.15079600000945,1062.1326250000038,1955.0,0.09967942775195363,0.0,370,370,550,550,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=LEASIDE%20PARK,2,0,54,795.6141860000088,53.63016000001153,1537.598212000006,2839.0,0.03322647591731787,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/locations/parks/?name=LILLIAN%20PARK,4,0,4,223.83562299999937,3.2277100000044356,871.2357699999984,1421.0,0.06645295183463575,0.0,17,17,870,870,870,870,870,870,870,870,870
GET,/api/locations/parks/?name=LORA%20HILL%20PARK,10,0,60,300.16038729999934,4.953814999993256,956.3283420000062,970.0,0.16613237958658938,0.0,110,150,750,930,960,960,960,960,960,960,960
GET,/api/locations/parks/?name=LYTTON%20PARK,2,0,451.15212599998245,813.4001289999873,451.15212599998245,1175.648131999992,1812.0,0.03322647591731787,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=MAJOR%20ABBAS%20ALI%20PARK,3,0,660.0,667.5467196666697,144.86820199999784,1200.429062000012,1490.0,0.04983971387597681,0.0,660,660,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=MALVERN%20PARK,1,0,10.011009999999487,10.011009999999487,10.011009999999487,10.011009999999487,1420.0,0.016613237958658936,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/locations/parks/?name=MANCHESTER%20PARK,3,0,5,17.75440699999346,4.263803000014832,43.735428999980286,1466.0,0.04983971387597681,0.0,5,5,44,44,44,44,44,44,44,44,44
GET,/api/locations/parks/?name=MAPLE%20LEAF%20PARK,3,0,200.0,226.7619839999971,41.978577000008954,433.37604299998134,1459.0,0.04983971387597681,0.0,200,200,430,430,430,430,430,430,430,430,430
GET,/api/locations/parks/?name=MARILYN%20BELL%20PARK,3,0,110.0,552.5818226666767,7.158588000010013,1539.9521820000075,1894.0,0.04983971387597681,0.0,110,110,1500,1500,1500,1500,1500,1500,1500,1500,1500
